Title,Business Line,Description
Business Enablement - Front line Co-Pilot Use Case Generation,business enablement,"BE will require some copilot licenses to support the front line teams to identify top 'roll-out' use cases.
Problems solved: Frontline & customer facing staff (RMs & UW) will be provided a coordinate approach in identifying use cases in which copilot can provide benefits to their day-to-day activities. Business enablement is looking to bring the teams together to have a coordinated approach to realizing these gains leveraging the advances in Generative AI technology built into our Office Suite of tools"
Chat GPT,"Enterprise Architecture to initiate idea, handing off to DTS / Digital Products Delivery & Architecture to operationalize","EDC users would be able to access and use Chat GPT for work purposes form EDC devices, within appropriate controls.
Problems solved: Right now EDC users are blocked from using Chat GPT which may hinder EDC taking full advantage of market advances in this space."
Co pilot for Program Management,Program Management,"Creating: high level project plans, job aids, process maps, visualizing complex concepts though power point presentations and visual aids, internal and external communications,   
Capture: minutes and action items as much of our time is dedicated to writing emails
Generating analytics from qualitative data (reviewing MI and VOP) 
Champion the use of AI in their lines of business  

If we were able to leverage this AI to enhance our current capabilities we anticipate that we could increase the quality of our work and produce more output to potentially support more initiatives in less time."
Content Creation & Lifecycle,Sales & Marketing,Generates and manages internal content with compliance tracking.
Contract Drafting,Legal,Generates contract drafts using templates and provided information.
Contract Review Agent,Legal,Reviews contracts to extract risks and obligations.
Contract Risk Scoring Agent,Legal,Assigns risk scores to contracts based on clauses.
Copilot for Power Bi,Likely Enterprise Data Operations and Tech,"EDC's current Copilot platform - Copilot for M365 - does not allow for use with Power Bi. For such use, Copilot for Fabric is required.
Problems solved: Enhance information obtainable from Power Bi sources"
CoPilot Premium,Customer Analytics & Modeling,Data analysis within Microsoft products ex Excel
Copilot Premium Access request,Customer Analytics & Modeling,"I'll be using it to incorporate it with Excel, PowerPoint and other tools to hopefully improve efficiency"
"Corporate Communications (translation, messaging)",,nan
Create a Proof of Concept for Power BI Insights,,"Please follow up with Andrew Taylor who submitted the Intake with EDOT
Problems solved: Create a Proof of Concept for Power BI Insights EDOT intake link https://edcanada.sharepoint.com/sites/DataStrategy/Lists/Intake%20Form/DispForm.aspx?ID=420&e=KL1krZ"
Create GenAI Intake assessment form using Copilot Studio,,"Create a self-assessment tool and intake form, using Copilot based on EDC principles and policy and vetted GenAI tooling in our ecosystem to triage GenAI use-cases for EDC users."
Customer Interaction Recap,Sales & Marketing,"Summarizes client calls, emails, and CRM notes for insights."
Customer Sentiment Analysis,Sales & Marketing,Analyzes emails and notes to measure customer sentiment.
Data mining of Company Information Processes and data quality,Company Information Management,Referencing sharepoint online sites to extract (and reference) information about data quality and processes related to the company information management team's responsibilities.  Finding opportunities to make processes more efficient.
Document Classification & Tagging,IT,Classifies and tags documents for improved searchability.
Economics data into text & insights,,nan
EDC market intelligence enhancement & centralization through Gen AI,"The Business Enablement group's FPI Market Intelligence function, as it facilitates and manages the market intelligence function and MI Huddle weekly","The piloting/testing of the Microsoft Copilot tool through the use of licenses by the Business Enablement group's FPI Market Intelligence function will enable enhancements to the current market intelligence centralization function & process.

The test will be performed by FPI's MI function, which will serve as a use case for to gathering, analyzing, summarizing, synthesizing, visualization and reporting of market intelligence  on a weekly basis. This will serve as a test case for other teams to leverage the same capabilities in the future to process large amounts of market intelligence.

The benefactors of the pilot will be the Market Intelligence Huddle stakeholders and its leadership representation on a weekly basis every Thursday morning. 


The use of this tool will enable the enhancement of the current Market Intelligence centralization function and its associated tools:

Word: Microsoft Copilot can write, edit, summarize, and create content along with you, according to the context of your work and language being used

Excel: provide insights, point out trends, and create high-quality data visualizations much quicker than it would when executed manually

Data visualization & reporting: to enhance depth & breath of market intelligence gathered & shared across EDC

MS Teams: create meeting summaries and action items from the context of the conversation taking place (ie: during the MI Huddle)
Problems solved: The gathering, analysis, summarization and synthesis of market intelligence trends is a cumbersome yet important task for many teams at EDC, in order to keep the pulse on the market that our customers operate in. There is a heavy requirement for internal capacity to process all available market intelligence, in order to report on trends, adapt to market conditions and enable our customers with timely support.

The ability to generate valuable and actionable insights from this large amount of available data is crucial to assist Canadian exporters and address their continuously evolving needs. The use of a Gen AI tool would help alleviate this heavy capacity burden from employees in order to capture key market intelligence and communicate it to the appropriate teams, for example through the weekly MI Huddle."
Enable AI use in Power BI reporting,EAF,"The Copilot in PBI will help extract insight from the PBI dashboards and will also help the PBI development.
Problems solved: Currently, sometimes it is difficult to extract the insight from complex PBI dashboards to answer users/leaders questions. A group of EAF PBI experienced developers and AI enablers are going to use the Copilot in Power BI to explore some use cases."
Enable copilot for Power BI,Enterprise Analytics and Forecasting,"Problems solved: We are hoping to improve productivity by enabling copilot within Power BI. This will allow us to document Power BI code, generate/verify/document DAX code, suggest visualizations and document insights on our data."
Enabling Apple Intelligence on New Corporate iPhone,Workspace Solutions,"Allow employees with the new enterprise iPhones leverage Apple Intelligence in non-EDC specific applications or work activities.
Problems solved: Apple Intelligence is Apple's integrated and upgraded Gen AI powered 'Siri' experience that will be available with the new Corporate iPhones to be deployed before end of 2025 Q1. The Workspace Solutions team is looking to understand the guardrails and controls to be implemented in order to determine how to develop controls, policies, and change management ahead of the rollout.

Note that Apple Intelligence will not be integrating with any Enterprise managed applications on the device (re: Office/ Outlook/ MS Auth/ Copilot, etc). There are also controls that can be built leveraging the Microsoft Intune platform, but this requires testing to ensure it doesn't break other needed services.

Access to a GoC Apple Security specialist is available to answer your particular risk domain concerns via Glen Edmond."
ESG Advisory Enablement,ESG Advisory - VP is Sophie Roy,"-	Use case 1: The ESG Advisory Team undertakes enhanced due diligence for non-credit risk.  The first step to this due diligence for a new transaction is gathering all the relevant information that our team may already have regarding the counterparties from previous work.   The challenge with this is that we do not currently have a case management system which makes the searching through emails an  sharepoint docusets timely/inefficient and error prone.  Copilot 365 would allow our team to search throughout all our Sharpoint site docusets, and emails more efficiently to gather ALL pertinent information and summarize key points quickly and easily.  Having all the key information at our finger tips quickly will ensure a better risk analysis and a better customer experience.  Without all the information we risk asking the client for information we may already have on hand!

-	Use Case 2: Related to the fact that we do not have a case management system, reporting on our transactional work can be difficult and time consuming.  Leveraging Copilot 365 through Excel will allow us to summarize key information and trends in order to be able to quickly understand our business and create visuals for leaders and the team.  

-	Use Case 3:  In ESGaÃ¢â‚¬â„¢s Enhanced Due Diligence work, advisors often receive very large files (>1MB) which Co-Pilot online cannot summrize due to the size limits.  It is assumed that Co-Pilot M365 would be able to help advisors summarize and analyze these large documents.

-	Use Case 4: Advisors are constantly reprioritizing work based on new transactions and are continuously in communication with underwriting.    Co-Pilot 365 could help review calendars and emails to be able to help prioritize and therefore maximize their time increasing benefit to the internal and external client."
Executive Brief Summaries,Finance & Corporate Operations,Creates executive summaries from structured and unstructured data.
Expense Compliance Agent,Finance & Corporate Operations,"Validates expenses and contracts, auto-approves or escalates transactions."
Explore Copilot 360 Option for the Credit Insurance Program,Insurance Automation,"Customer Communication
- Content Creation: Generate drafts for documents, such as essays, business plans, or cover letters, based on prompts;
- Formatting Assistance: Provide suggestions for improving document formatting and readability;
- Email Drafting for customers;

Financial Analysis:
- translate f/s
- Summarize financial analysis;

Replace Robot: 
- At this time, we have robots in place that are costly and complex to manage to manage policyholders' communications;

Coding:
- We leverage heavily Copilot when coding our model. This would speed up development.

Gather intel on counterparties
- We recently paid 6 claims totaling 200k because our system information on the parent was not up to date. Copilot had the correct info on file. Copilot can help us make better decision."
Exporter Journey Optimization Agent,Sales & Marketing,Orchestrates and improves exporter customer journeys.
Financial Variance Analyzer,Finance & Corporate Operations,Explains causes of financial performance variances.
Fraud Detection Agent,Risk & Audit,Detects suspicious transactions and behaviors to prevent fraud.
Gen AI tool for Career Development & Growth,People & Culture in collaboration with DTS EDOT & Integration teams,"The tool will use data from EDC tools and internal databases (Individual Performance data from PeopleSoft, Success Profiles and behavioral competencies, COMPASS and other L&D databases, etc.) and data manually provided by the employee (their Insights profile, areas of interest, roles, etc.) to generate personalized recommendations for individual development plan and career development options in a form of a list of recommended success profile-based roles, the % of fit to the profile and recommended training / upskilling / reskilling for each option (example: there is a 70% fit for a X role at level 19; recommended training to address identified skill gaps are: ...).
Problems solved: To ""Empower Our Employees"" (one of our 2030 Strategy's goals and consistent with our value of Caring), EDC employees may benefit from a tool that can help them explore different career paths based on data they can feed into the tool. Today, many people managers across EDC cannot dedicate adequate amount of time for in-depth career development exploration, mentoring and coaching conversations with their direct reports. Introducing a tool that will offer meaningful and personalized insights on employee's potential career paths will empower them to actively drive their career development at EDC and help stay them motivated and engaged."
Gen-AI empowered Market Scan for EA's Research Service,Enterprise Architecture,"Explore the possibility of using Gen-AI to help the ingestion, summarization, and drafting of market scan reports for the review of EA architect and EDC consumption.
Problems solved: EA research services ingest 3rd party research reports to prepare market scan reports that helps various business units understand the technology market to find the best solution for their business initiatives. EA architects spend many hours reading and summarizing the 3rd party research artifact which we know Gen-AI can largely help with human review in the loop."
Generative AI for CanCap Research,Sectors & International Advisory (SIA),"The content produced will be text, Excel data and PowerPoint files for internal use. For example, in text it could generate a list of industry associations connected to a specific industry. Another text content produced would be a list of Canadian companies listed as participants in a specific trade show. In Excel, it could classify companies listed in Excel based on the products they offer according to a defined list of value chain segments. Another example of Excel would be graphs and insights extracted from our business connections data. For example, calculate the average number of days a company introduced becomes an opportunity development by industry sector. Processes impacted include business connections CanCap requests, Sector research, CanCap insights and data quality, among others.
Problems solved: It will help process large quantities of unstructured data to better respond to CanCap requests. For example, it could help find CanCap companies that best match the requirements of a buyer's CanCap request. Another example would be to identify relevant stakeholders in an industry's ecosystem, or processing and segmenting long lists of companies based on the products and services their offer and their position in the industry value chain."
Global Business Development Market Intel Newsletter Content Automation,Global Business Development,"It will be used to automate the creation and distribution of a market intelligence newsletter for the Global Business Development team, ensuring relevant insights are delivered to stakeholders. It will assist in the following cases: 
1) Use predefined templates to structure the newsletter
2) Use natural language to summarize lengthy reports and articles into concise, digestible insights.
3) Send content to different stakeholders based on their interests and needs."
Grammarly,Corporate Communications,"Grammarly integrated into MS365 and provides AI based spell check/grammar editing tools in line. Anyone who creates content for their work would benefit from this tool.
Problems solved: Having system access to Grammarly would be a great resource for the Corp Communications team, as the tool offers AI based spell check and grammar/style editing which would allow the team to produce/ review quality comms materials more efficiently."
HR Knowledge Article Creation,,nan
HR Self-Service Agent,"People, Culture & HR",Answers HR questions and generates documents for employees.
Incident Communication Drafting,IT,Drafts formal communications for IT or operational incidents.
Intelligent Incident Response Agent,IT,"Correlates IT alerts, identifies causes, and drafts incident communications."
Internal Knowledge Center,IT,"Centralizes research, documents, and training resources."
IT Documentation Summaries,IT,Summarizes technical documents and logs for clarity.
"It's not a specific idea, but I would like to explore if and how AI can support a procurement function within a federal Crown Corporation.",The Procurement Team,"Could streamline many processes, such as drafting contracts, evaluating bids. Help ensure compliance with procurement regulations and policies by automatically checking for compliance issues and flagging potential risks. Provide predictive analytics and scenario planning, helping procurement teams to anticipate and mitigate risks and make more informed decisions related to procurement strategies. Analyze large volumes of data quickly and accurately. Automating and documenting procurement processes, generative AI can potentially enhance transparency and accountability ensuring that procurement activities are conducted in a fair, open and transparent manner, in line with regulations and policy. The Procurement Team would benefit as well as contract owners/business clients who have procurement requirements often viewed as slow, complex and overly bureaucratic.
Problems solved: There are various procurement related problems/pain points that using AI can potentially help with/solve, that could be worth exploring."
KYC / CIM Validation Agent,Risk & Audit,Automates client identity and compliance checks for onboarding.
Legal Services Contract and Document Management,Legal,"There is a major operational inefficiency, and risk with the management and case building capabilities with how the legal team (Clerks and Admins in particular) have to search, consolidate, and share documents as part of active transactions and cases within the group. It takes over 10 hours to search, and consolidate the legal documents found across over 20 sharepoint sites used by the Legal group. There is also a risk in the current process based on document migration process, and hosting of the files. Using AI capabilities will allow for faster searching of key documents and putting together relevant information. This will improve our ability to serve more customers by improving a cumbersome process, and allow for the Legal team to focus on more value added activites."
Leveraging AI capabilities to support EDC Legal Services Use-cases and enhancements.,Risk and Corporate Service Family,"This idea will reduce the time it takes for several legal service processes and task to be completed. It will provide reliable information to the team without having to rummage through several files, folders and emails.
Problems solved: This idea will provide quick search capabilities for the Legal Service Team by adopting Generative AI, AI powered searches and Azure Cognitive services to search for and provide brief (or detailed) summary of emails, email attachments and its content. It will also support files and folders indexing in SharePoint, making it easier for the team to search for items with key words and prompts (e.g. Find an email sent by Jamie. F. on risk rating with a spreadsheet attachment containing risk models). These prompt functionalities will save the team a lot of man-hours spent currently to find and analyze information in emails and SharePoint. 
The prompt functionality may be adopted to: 
1. Perform intelligent search within Legal Knowledge Management Manuals and SharePoint Links 
2. Perform intelligent search within EDC emails.
3. Summarize and highlight updates/changes to Legal services documents, by whom and when last updated (intelligent version analysis)
4. Incorporating AI searching and indexing functionalities for Legal service documents and/or correspondences. The Legal Team currently needs an improved search and retrieval model across the Legal unit and collaborating Business units. 
5. Virtual Agent (AI chatbot) that intakes Legal search prompt and provides knowledge/insights from connected repositories 
6. Ability to identify from AI search legal/business record duplication and compare content.
7. AI powered Legal research tools and capabilities (the current legal counsel advice database is outdated and sometimes unavailable). The ability to leverage AI to create a self-updating legal counsel advisory platform may add value to the team's work. The ability for the team to conduct legal research across HR, ATIP, Corp Law, Privacy, ATIP, FAA, procurement e.t.c will add value to the timing & quality of work. 
8. ServiceNow will provide a transaction tracking tool to manage legal transactions (current MS spreadsheet). Integrating Copilot into SNow may help each task owner get regular self-performance updates on their workload."
Market Insights Generator,Sales & Marketing,Generates insights on market trends from internal and external data.
Market Intelligence Agent,Sales & Marketing,Analyzes market trends and opportunities for business growth.
"Meeting ""Recap"" feature in MS-Teams for Project Managers /Scrum Masters (PMs / SMs)",Delivery CoP,"Use of CoPilot in MS-Teams allows for summary of meeting discussions and actions.  An AI assist to this work will help with:
- automating the creation of meeting summary notes
- identifying follow-up tasks that are discussed in meetings
- providing the ability to quickly review the meeting timeline
- improving the accuracy and quality of notes produced at meetings
- allowing for more SM/PM participation in meetings to help add value
Problems solved: PMs and SMs are often the record-keepers at meetings or huddles.  The problem of having to accurately summarize what was discussed, by whom, and assign the work-items appropriately is very important to the success of the team.  Unfortunately, this is made much more challenging as they tend to have many of these meetings per day and aren't able to keep up to the demand."
Microsoft Co-Pilot for M365 to support EDC Risk Assessments,Business Quality and Risk Support (BQRS),"A key step in a risk assessment is to conduct workshops/interviews with Initiative Owners/Subject Matter Experts (SME) to help in the identification and documentation of risks and controls. Once this step is completed, the BQRS Risk Assessment lead will then need to manually document all notes from the discussion into a complex excel based tool. Leveraging Microsoft Co-Pilot for M365 licenses, we believe we can help streamline and create efficiencies in this process (for both BQRS and our 'customer' (i.e. Initiative Owner/SME) by leveraging Co-Pilot to generate output from these workshops/interviews. This will help create and autogenerate as output a first draft of the Risk and controls tool than we can then review and revise.
Problems solved: The BQRS team is responsible for performing risk assessments across the organization.  Each year, the team is required to complete a large number of risk assessments against an annual plan. These risk assessments are driven by robust methodology that needs to be followed. Each risk assessment engagement can take up to 4-8 weeks to complete depending on complexity. This process currently uses tools that are cumbersome and complex which result in inefficiencies and time wasted. We believe leveraging Microsoft Co-Pilot for M365 can help in process optimization and provide benefits to both BQRS and the Initiative Owner/SME undergoing the risk assessment."
Model Risk Management & Audit reporting,,nan
Multi-Document Summarization,IT,Produces summaries across multiple documents for rapid review.
NLP in employee discussion,Internal Audit,"We hope to leverage natural language processing method in payroll audit, the new tool would be able to help us text mining the tickets content to analyze whatÃ¢â‚¬â„¢s the most complained related to payroll and evaluate if current areas been improved."
Optimizing dev/code for Enterprise Portfolio Management,,nan
Payments & Cashflow Analyzer Agent,Finance & Corporate Operations,Monitors financial flows and flags anomalies.
Personalized Learning Agent,"People, Culture & HR",Recommends learning paths tailored to employee goals.
Personalized Learning Path Creation,"People, Culture & HR",Designs learning paths based on employee goals and skills.
Policy Summarization,Legal,Summarizes internal policies for easier understanding.
Predictive Maintenance Agent,IT,Predicts equipment failures using sensor and historical data.
Pricing Benchmark Retrieval,Sales & Marketing,Finds comparable prices in internal and external databases.
Procurement Evaluation Agent,Finance & Corporate Operations,Compares supplier proposals and assesses risks.
Product Owner Productivity,WCS/Financing Family,"Looking to try this out and whether it can help with draft business cases, benefits realization and mostly visuals - by using multiple M365 sources.  As a PO I have a number of different stakeholders, I think in bullets and process maps and I believe copilot would help me create higher level visuals that appeal to different audiences."
Project Investment Summary,Finance & Corporate Operations,"Synthesizes investment files, risks, and ROI for decisions."
Prospect Intelligence,Sales & Marketing,Creates enriched prospect profiles from various data sources.
Record governance -  Summarizing Meeting notes and actions (with attendees tagged),not sure. can benefit all teams and record governance.,"Summarized points/actions with tags to attendees, produce an email for record and attach in the Teams meeting chat.  Produce a formal record to store.
Problems solved: Reduce time spent to summarize meeting notes and actions and send to meeting attendees.
Improve record governance by simplifying the process and ease of storing."
Regulatory Change Summarization,Legal,Summarizes regulatory changes and their impacts.
Regulatory Summary Agent,Legal,Summarizes regulatory changes and impacts for compliance.
Reinstate the Live Translation feature in Microsoft Teams,Workplace Solutions,"The feature is a subscription service in M365.
Problems solved: Inclusive accessible meetings for all. Note Live Translations is also bundled with a generative AI recap feature."
Request for Copilot premium,Marketing,"I'd like to explore having Copilot help me create Power point presentations, look into having Mural connected to ADO (maybe have stories created from widgets on Mural)- would I need an API key for this?, explore auto creation of stories based on a template, autocreate a process flow map based on a description, data analysis, and who knows what else?"
Request for Customer Care Team,Customer Care,"MS Co-pilot will enable the internal team operations.
1. Creation of Knowledge Articles and job aids
2. Drafting customer emails and creation of templates for repeat inquiries
3. Creating detailed call summaries
4. Sentiment analysis based on VOCs
5. Quality reviews/analysis of data"
Request for Leadership from Small Business National Accounts and Inclusive Trade,SBNA and Inclusive Trade,"To support leadership with data analysis, presentation/document creation, and Outlook - calendar/email/contacts."
Reuse of IBA Advisory Service Mandates to scale reach of customers,International Business Advisory,"We would like to proactively feed completed mandates into an engine for the purpose of 1) creating templates to decrease effort of future mandates, 2) curate answers to different subsectors and purposes and 3) be able to ask it to create recommended responses leveraging all completed mandates that we can then use to create new material to serve more companies"
Risk challenge model,Internal Audit,"We could use the new tool in credit risk audits, where it can help us generate some Ã¢â‚¬Å“similarÃ¢â‚¬Â financial statements or company profile based on curtain rating range and see if the model would generate desired output."
Risk Scenario Simulator Agent,Risk & Audit,Simulates risk scenarios for better decision-making.
RM Support Agent,Sales & Marketing,Recommends actions for Relationship Managers based on client interactions.
Role-Based Knowledge Packs,"People, Culture & HR",Creates onboarding packs tailored to employee roles.
Sales Transcript Analysis,Sales & Marketing,Analyzes sales conversations and suggests next actions.
Sector Opportunity Identification Agent,Sales & Marketing,Detects and prioritizes new sector opportunities using internal and external data.
Simultaneous Multi synchronous AI translation,Global Business Development,"CC translation
Problems solved: Language barriers present in B2B meetings between international buyers and Canadian companies."
Streamline production of Quarterly analysis and reporting,Insurance Analytics,Help to summarize Quarterly meetings and actions; connect to discrete data sources and compiling data/graphs; summarizing narratives; produce summary slides
Supplier Proposal Summarization,Finance & Corporate Operations,Summarizes supplier proposals for quick comparison.
Sustainable Business Narratives Data Ingestion,ESG-I,"We have a manual process that selects and extracts the data at this time and it is very labour intensive. The output of this manual process could be used as training The final result of the analyses and extraction of the data will be presented in a tabular format (Excel?)  This result will be used to drive a report or dashboard, it will not be generating the dashboard.
Problems solved: We have a collection of 2500+ corporate data folders, each with annual reports for multiple years resulting in 10,000 or more individual files.   These files are in multiple formats, PDF, Excel, images, etc. with no fixed naming convention or data structure.  From this collection of files we need to identify those which are relevant to ESG-I and further extract and standardize the financial data presented."
Talent Profile Generation,"People, Culture & HR",Generates candidate profiles from resumes and assessments.
Talent Screening Agent,"People, Culture & HR",Ranks candidates by skills and fit for open positions.
Teams Premium - AI Notes from Transcripts (inquiry into whether this meets our AI use policy),CEBA,"Intends to take teams meeting transcripts and leverage the teams premium AI notes tool to generate our meeting minutes.
Problems solved: This is meant to streamline our generation of meeting minutes, ensuring we are capturing detailed discussions, solutioning and decisions during our weekly calls. It also intends to save us significant time in creating meeting minutes while allowing us to actively focus more on the conversation at hand rather than note taking."
"The main objective of this case is to obtain approval to input internal (i.e., non-public) client data into MS Copilot on the Web to increase work efficiency on the Impact team (FinDev Canada).",FInDev Canada,"The integration of Copilot (Web) into the Impact Enablement team's workflow is designed to streamline the process of identifying and extracting Impact data from various sources, significantly reducing the time required for this task. HereÃ¢â‚¬â„¢s how it works:

Data Extraction: Copilot will be used to extract Impact data from client-related documents, which are often heterogeneous and client-specific. This task is highly time-intensive as it requires reviewing numerous documents to identify and extract relevant data. Copilot's speed and performance in information extraction make it a prime tool for improving this process

Impact Assessment: The Impact team uses several tools and frameworks to assess clients' impact. Copilot can aid in the process of client evaluation and assist Impact Officers in navigating complex evaluation criteria.

Data Analysis: With a growing database of Impact data, Copilot can be used to conduct data analysis, uncovering interesting trends and patterns. This use case has yet to be explored in-depth but holds potential for future efficiency gains.

Drafting Impact-related Documents: Copilot can help produce documents that assess the impact of potential and existing clients, such as the Development Impact section of the Investment Recommendation Memo4. This reduces the time required by officers in summarizing in-depth client research and Impact data collected from clients.

Initial Results: Initial experimentation with Copilot has shown significant time savings. For example, reviewing a client's 200-page sustainability report and identifying impact metrics took approximately 5 minutes manually but only 2.5 minutes with Copilot56. Similarly, extracting data points across multiple pages and calculating portfolio-level metrics took 3 minutes manually but only 1.5 minutes with Copilot.

The integration of Copilot is estimated to result in 30-50% time savings for Impact data collection activities, translating to an estimated 200-400 hours saved in the first year. This would allow the Impact team to focus on more high-value activities and projects.
Problems solved: The primary issue is the time-intensive and complex nature of collecting, evaluating, and analyzing Impact data from various sources, including client documentation and FinDev Canada documentation. The heterogeneity and client-specific nature of these documents add to the complexity and challenge of identifying and extracting relevant Impact data.

The Impact Strategies & Thought Leadership (IS&TL) team is currently addressing historical data gaps in the Impact database as part of its data modernization project3. The urgency of filling these data gaps has been heightened by the upcoming project, Ã¢â‚¬ËœInterim Evaluation of 2X Challenge Investments,Ã¢â‚¬â„¢ which has time constraints with external consultants. Given the time-sensitive nature of this evaluation, the team's limited capacity, and the identified data gaps, Copilot is seen as a valuable support tool to streamline the process of identifying and extracting Impact data from client-related documents, significantly reducing the time required for this task.

The integration of Copilot (Web) is estimated to result in 30-50% time savings for Impact data collection activities, translating to an estimated 200-400 hours saved in the first year. This would allow the Impact team to focus on more high-value activities and projects."
The Strategic Change Team (Director - Jenn Robinson) is expressing interest in being included in the initial 300 Copilot M365 licenses,Copilot Enablement Team,"1. Analyzing change impact data: Utilizing Copilot M365 to assess the impact of change initiatives, which helps in strategic decision-making.
2. Developing content: Collaborating with Copilot M365 to create engaging and informative training content for staff undergoing changes.
3. Managing stakeholder communications: Using Copilot M365 to draft initial communications, schedule dispatches, and manage follow-ups.
4. Monitoring engagement and feedback: Applying Copilot M365 to track and analyze feedback on change initiatives for continuous improvement.
5. Planning change management strategies: Employing predictive analytics to forecast potential outcomes of change strategies.
6. Enhancing risk management processes: Utilizing Copilot M365 algorithms to predict and mitigate potential risks during the change process.
Problems solved: As we rollout Copilot M365 across the organization, having Change Advisors part of the initial 300 licenses will allow for:
- Change management of the pilot: Ensuring the change team is involved during the early stages of Copilot M365 implementation by helping to identify the impacts to stakeholders' groups and workflows and manage appropriate resistance. 
- Quicker adoption of the tool: We can also create customized awareness and benefits campaigns tailored to the organizationÃ¢â‚¬â„¢s needs.
- Experiment how the change team can leverage Copilot M365 across the strategic initiatives to be more efficient and focus on the human exclusive tasks"
